event_signature,issue_date,field,original_value,true_value,correction_reason
"world-series-of-rock-alpine-valley-east-troy,-group-1990-05-26",6/16/1990,artists,"['WORLD SERIES OF ROCK', 'WHITESNAKE', 'SKID ROW', 'GREAT WHITE', 'BAD ENGLISH', 'HERICANE ALICE']","['WORLD SERIES OF ROCK', ""'90:"",  'WHITESNAKE', 'SKID ROW', 'GREAT WHITE', 'BAD ENGLISH', 'HERICANE ALICE']",
"world-series-of-rock-alpine-valley-east-troy,-group-1990-05-26",6/16/1990,promoter,"['Joseph', 'Entertainment', 'Group']",,
"world-series-of-rock-alpine-valley-east-troy,-group-1990-05-26",6/16/1990,ticket_prices,[],['32.50/25.50'],
"madonna-rosemont-horizon-rosemont,-il.-1990-05-23",6/16/1990,attendance,,33954,
aerosmith-palace-None,6/16/1990,gross_receipts_us,,866385,
aerosmith-palace-None,6/16/1990,attendance,,38506,
aerosmith-palace-None,6/16/1990,promoter,"['38,506 Belkin Prods.']","['Belkin Prods.', 'Cellar Door Prods.']",
aerosmith-palace-None,6/16/1990,location,"['Palace of', 'Auburt Hills a', 'Door Prods.', 'Auburn Hills,', 'Mich']","['Palace of', 'Auburn Hills', 'Auburn Hills,', 'Mich.']",
don-henley-garden-state-arts-center-1990-05-29,6/16/1990,artists,"['DON HENLEY', 'L']",['DON HENLEY'],
cher-world-music-theatre-1990-06-02,6/16/1990,location,"['World Music', 'Theatre', 'Tinley Park, Ih']","['World Music', 'Theatre', 'Tinley Park, Ill.']",
motley-crue-neil-s.-blaisdell-center-None,6/16/1990,dates,['May 31-'],"['May 31-', 'June 1']",
motley-crue-neil-s.-blaisdell-center-None,6/16/1990,location,"['Neil S. Blaisdell', 'Center june L', 'Honolulu sellout']","['Neil S. Blaisdell', 'Center', 'Honolulu']",
mel-torme/rosemary-fox-theatre-1990-05-17,6/16/1990,gross_receipts_us,279296,279295,
mel-torme/rosemary-fox-theatre-1990-05-17,6/16/1990,ticket_prices,"['50/37.50/', '25/85']","['50/37.50/', '25/5']",
david-bowie-starplex-concerts-amphitheatre-state-fey-concert-co.-fairgrounds-1990-06-04,6/16/1990,artists,"['DAVID BOWIE', 'MCA', 'FRANKLY SCARLET']","['DAVID BOWIE', 'FRANKLY SCARLET']",
david-bowie-starplex-concerts-amphitheatre-state-fey-concert-co.-fairgrounds-1990-06-04,6/16/1990,promoter,"['', '20.000 PACE Concerts']","['MCA Concerts', 'PACE Concerts', 'Fey Concert Co.', 'BCL Group']",
david-bowie-starplex-concerts-amphitheatre-state-fey-concert-co.-fairgrounds-1990-06-04,6/16/1990,location,"['Starplex', 'Concerts', 'Amphitheatre', 'State Fey Concert Co.', 'Fairgrounds of BCL Group', 'Texas,', 'Dallas']","['Starplex', 'Amphitheatre', 'State', 'Fairgrounds of', 'Texas', 'Dallas']",
roseanne-barr-fox-theatre-1990-05-09,6/16/1990,gross_receipts_us,,274320,
roseanne-barr-fox-theatre-1990-05-09,6/16/1990,attendance,,12282,
roseanne-barr-fox-theatre-1990-05-09,6/16/1990,ticket_prices,['25/820'],['25/20'],
fleetwood-mac-pacific-coliseum-1990-05-25,6/16/1990,ticket_prices,['28/826'],['28/26'],
midnight-oil-radio-city-music-hall-1990-05-29,6/16/1990,gross_receipts_us,,257140,
midnight-oil-radio-city-music-hall-1990-05-29,6/16/1990,attendance,,10837,
reggae-sunsplash:-greek-theatre-1990-05-26,6/16/1990,artists,"['REGGAE SUNSPLASH:', 'BURNING SPEAR', 'FREDDIE MCGREGOR', 'MARCIA GRIFFITHS', 'SHINEHEAD.', 'SHELLY THUNDER,', 'BAND.']","['REGGAE SUNSPLASH:', 'BURNING SPEAR', 'FREDDIE MCGREGOR', 'MARCIA GRIFFITHS', 'SHINEHEAD', 'U-ROY', 'SHELLY THUNDER,', '809',  'BAND']",
reggae-sunsplash:-greek-theatre-1990-05-26,6/16/1990,promoter,['Nederlander'],"['Nederlander', 'Organization']",
reggae-sunsplash:-greek-theatre-1990-05-26,6/16/1990,location,"['Greek Theatre', 'Los Angeles', 'uROY']","['Greek Theatre', 'Los Angeles']",
alan-king/joel-gray-westbury-music-fair-None,6/16/1990,dates,"['May 30+', 'June 3']","['May 30-', 'June 3']",
alan-king/joel-gray-westbury-music-fair-None,6/16/1990,location,"['Westbury Music', 'Fair', 'Westbury, #.Y. sellout']","['Westbury Music', 'Fair', 'Westbury, N.Y.']",
"|-alabama-patriot-center-george-mason-unw,-1990-06-01",6/16/1990,promoter,['Keith Fowler'],"['Keith Fowler', 'Prods']",
reggae-sunsplash:-irvine-meadows-dune-amphitheatre-None,6/16/1990,artists,"['REGGAE SUNSPLASH:', 'BURNINGSPEAR', 'FREODIE MCGREGOR', 'MARCIA GRIFFITHS', 'SHINEHEAD', 'SHELLY THUNDER,', 'BAND']","['REGGAE SUNSPLASH:', 'BURNING SPEAR', 'FREODIE MCGREGOR', 'MARCIA GRIFFITHS', 'SHINEHEAD', 'U-ROY', 'SHELLY THUNDER, 809', 'BAND']",
reggae-sunsplash:-irvine-meadows-dune-amphitheatre-None,6/16/1990,dates,"['2', '809']",['June 2'],
reggae-sunsplash:-irvine-meadows-dune-amphitheatre-None,6/16/1990,location,"['Irvine Meadows dune', 'Amphitheatre', 'Laguna Kills,', 'Calit', 'uROY']","['Irvine Meadows', 'Amphitheatre', 'Laguna Hills,', 'Calif.']",
bally-joel-yankee-stadium-1990-06-22,7/14/1990,ticket_prices,[],['30'],
madonna-meadowlands-1990-06-24,7/14/1990,artists,"['MADONNA', 'TECHNOTRONIC', 'NJ.']","['MADONNA', 'TECHNOTRONIC']",
madonna-meadowlands-1990-06-24,7/14/1990,location,"['Meadowlands:', 'Arena', 'East Rutherford,']","['Meadowlands:', 'Arena', 'East Rutherford,', 'N.J.']",
billy-joel-providence-center-1990-06-27,7/14/1990,gross_receipts_us,,1043700,
billy-joel-providence-center-1990-06-27,7/14/1990,attendance,,42600,
david-bowe-palace-of-1990-06-22,7/14/1990,gross_receipts_us,,980625,
david-bowe-palace-of-1990-06-22,7/14/1990,attendance,,39225,
david-bowe-palace-of-1990-06-22,7/14/1990,location,"['Bowe Palace of', 'Auburn Hills', 'Auburn Hills,', 'Mich.']","['Palace of', 'Auburn Hills', 'Auburn Hills,', 'Mich.']",
depeche-mode-stadium-1990-06-22,7/14/1990,promoter,['Concert Prods.'],"['Concert Prods.', 'International']",
gipsy-kings-the-greek-1990-06-23,7/14/1990,promoter,['Nederlander'],"['Nederlander', 'Organization']",
fleetwood-mac-world-music-1990-06-27,7/14/1990,location,"['World Music', 'Theatre', 'Tinley Park, (Il.']","['World Music', 'Theatre', 'Tinley Park, Ill.']",
b52s-mann-music-1990-06-23,7/14/1990,artists,"['B52S', 'DGGY MARLEY & THE', 'MELODY MAKERS.']","[""B-52'S"", 'DGGY MARLEY & THE', 'MELODY MAKERS.']",
b52s-mann-music-1990-06-23,7/14/1990,attendance,13847,13147,
budweiser-superfest-the-summit-dune-None,7/14/1990,artists,"['BUOWEISER SUPERFEST:', 'MAZE FEATURING FRANKIE', 'BEVERLY', 'STEPHANIE MALLS.', 'GAP BAND', 'CHRISTOPHER WILLIAMS']","['BUOWEISER SUPERFEST:', 'MAZE FEATURING FRANKIE', 'BEVERLY', 'STEPHANIE MALLS.', 'GAP BAND', 'TONY! TONI! TONE!', 'CHRISTOPHER WILLIAMS']",
budweiser-superfest-the-summit-dune-None,7/14/1990,dates,['22'],['June 22'],
budweiser-superfest-the-summit-dune-None,7/14/1990,ticket_prices,['23.75/822.75'],['23.75/22.75'],
budweiser-superfest-the-summit-dune-None,7/14/1990,location,"['The Summit dune', 'Houston', 'TONY! TON# TONE!']","['The Summit', 'Houston']",
b57-jones-beach-1990-06-28,7/14/1990,artists,"['B57', 'THE PYLON']","[""B-52'S"", 'THE PYLON']",
steve-miller-mann-music-1990-06-22,7/14/1990,attendance,11875,11975,
steve-miller-garden-state-1990-06-27,7/14/1990,ticket_prices,['22.50/815'],['22.50/15'],
steve-miller-garden-state-1990-06-27,7/14/1990,location,"['Garden State', 'Arts Center', 'Holmdel, Nu.']","['Garden State', 'Arts Center', 'Holmdel, N.J.']",
steve-miller-seashore-1990-06-29,7/14/1990,ticket_prices,['20/519'],['20/19'],
nss-the-spectrum-1990-06-26,7/14/1990,artists,"['NSS', 'SLAUGHTER:', 'UTTLE CAESAR']","['KISS', 'SLAUGHTER:', 'LITTLE CAESAR']",
mc-hanmer-thompson-dune-None,7/14/1990,artists,"['MC. HANMER', 'MICHELE', 'TROOP']","['MC. HANMER', 'AFTER 7', ""MICHEL'LE"", ""OAKTOWN'S 3-5-7"", 'TROOP']",
mc-hanmer-thompson-dune-None,7/14/1990,location,"['Thompson dune', 'AFTER? Boling Assembly', 'Center & Arena', ""OAKTOWN'S"", 'of', 'Tennessee,', 'Knoxville', 'Knoxville, Tenn.']","['Thompson', 'Boiling Assembly', 'Center & Arena', 'Univ. of', 'Tennessee,', 'Knoxville', 'Knoxville, Tenn.']",
ac-hammer-tallahassee-1990-06-23,7/14/1990,artists,"['AC. HAMMER', 'AFTER', 'MICHELLE.', 'TROOP']","['AC. HAMMER', 'AFTER 7', 'MICHELLE.', ""OAKTOWN'S 3-5-7"", 'TROOP']",
ac-hammer-tallahassee-1990-06-23,7/14/1990,location,"['Tallahassee-', 'County', 'Cwic Center', ""OAKTOWN'S"", 'Fla.']","['Tallahassee-', 'Leon County', 'Cwic Center', 'Tallahassee, Fla.']",
ziggy-marley-and-the-seashore-1990-06-30,7/14/1990,ticket_prices,['20/519'],['20/19'],
"frank-sinatra-olympic-saddledome-prods.-calgary,-canadian)-1991-05-03",6/1/1991,dates,['May 3'],['May 9'],
"frank-sinatra-olympic-saddledome-prods.-calgary,-canadian)-1991-05-03",6/1/1991,attendance,7788,7748,
"frank-sinatra-olympic-saddledome-prods.-calgary,-canadian)-1991-05-03",6/1/1991,promoter,['Perryscope'],"['Perryscope', 'Concert Prods.']",
the-judds-jon-m.-huntsman-center-1991-05-01,6/1/1991,dates,['May 1'],['May 11'],
the-judds-jon-m.-huntsman-center-1991-05-01,6/1/1991,ticket_prices,"['34.50/824.50/', '19.50']","['34.50/24.50/', '19.50']",
"““the-simple-truth""a-wembley-arena-1991-05-12",6/1/1991,artists,"['â€œâ€œTHE SIMPLE TRUTH""A', 'CONCERT FOR KURDISH', 'REFUGEES:', 'MMC, HAMMER, SNAP, GIPSY', 'KINGS, CHRIS DE BURGH', 'TOM JONES, LISA', 'STANSFIELD, ALLISON', 'BEVERLY CRAVEN,', ""ALEXANDER O'NEAL: VIA"", 'SATELLITE:', 'NEW KIDS ON THE BLOCK,', 'STING, ROD STEWART', 'INXS, PAUL SIMON, PETER', 'GABRIEL', ""SINEAD O'CONNOR, HALL &"", 'OATES.']","[""'â€œâ€œTHE SIMPLE TRUTH'—A"", 'CONCERT FOR KURDISH', 'REFUGEES:', 'MMC, HAMMER, SNAP, GIPSY', 'KINGS, CHRIS DE BURGH', 'TOM JONES, LISA', 'STANSFIELD, ALLISON', 'MOYET', 'BEVERLY CRAVEN,', ""ALEXANDER O'NEAL: VIA"", 'SATELLITE:', 'NEW KIDS ON THE BLOCK,', 'STING, ROD STEWART', 'INXS, PAUL SIMON, PETER', 'GABRIEL', ""SINEAD O'CONNOR, HALL &"", 'OATES.']",
"““the-simple-truth""a-wembley-arena-1991-05-12",6/1/1991,ticket_prices,['25.20'],['25.70'],
"““the-simple-truth""a-wembley-arena-1991-05-12",6/1/1991,location,"['Wembley Arena =', 'London', 'pounds)', 'MOvET']","['Wembley Arena =', 'London']",
whitney-houston-arco-arena-after?-1991-05-12,6/1/1991,artists,['WHITNEY HOUSTON ARCO'],"['WHITNEY HOUSTON', 'AFTER 7']",
whitney-houston-arco-arena-after?-1991-05-12,6/1/1991,location,"['Arena', 'AFTER? Sacramento,', 'Catt']","['ARCO Arena', 'Sacramento,', 'Catt']",
"steve-winwood-starplex-amphitheatre,-state-fairgrounds-of-1991-05-17",6/1/1991,ticket_prices,['23/818'],['23/18'],
clint-black-red-rocks-amphitheatre-1991-05-17,6/1/1991,promoter,['Beaver Prods.'],"['Beaver Prods.', 'Fey Concert Co.']",
clint-black-red-rocks-amphitheatre-1991-05-17,6/1/1991,ticket_prices,['21.45/518.15'],['21.45/18.15'],
clint-black-red-rocks-amphitheatre-1991-05-17,6/1/1991,location,"['Red Rocks', 'Amphitheatre', 'Concert Co.', 'Denver']","['Red Rocks', 'Amphitheatre', 'Denver']",
"clint-black-tingley-coliseum,-new-menico-state-fairgrounds-1991-05-18",6/1/1991,artists,"['CLINT BLACK', 'MERLE HAGGARD', 'LORRIE MORGAN', 'NM.']","['CLINT BLACK', 'MERLE HAGGARD', 'LORRIE MORGAN']",
"clint-black-tingley-coliseum,-new-menico-state-fairgrounds-1991-05-18",6/1/1991,location,"['Tingley', 'Coliseum, New', 'Menico State', 'Fairgrounds', 'Albuquerque,']","['Tingley', 'Coliseum, New', 'Menico State', 'Fairgrounds', 'Albuquerque,', 'N.M.']",
"clint-black-tingley-coliseum,-new-menico-state-fairgrounds-1991-05-18",6/1/1991,ticket_prices,['22/818'],['22/18'],
"alabama-starpiex-amphitheatre,-state-farrgrounds-of-dallas-1991-05-18",6/1/1991,ticket_prices,['22/818'],['22/18'],
yes-blockbuster-desert-sky-pavilion-None,6/1/1991,dates,['May'],['May 11'],
yes-blockbuster-desert-sky-pavilion-None,6/1/1991,gross_receipts_us,,170983,
yes-blockbuster-desert-sky-pavilion-None,6/1/1991,attendance,,9720,
the-judds-spokane-center-coliseum-1991-05-09,6/1/1991,gross_receipts_us,170377,170177,
the-judds-spokane-center-coliseum-1991-05-09,6/1/1991,attendance,,6946,
yes-arco-arena-1991-05-16,6/1/1991,artists,['YES ARCO'],['YES'],
yes-arco-arena-1991-05-16,6/1/1991,location,"['Arena', 'Sacramento,', 'Cali.']","['ARCO Arena', 'Sacramento,', 'Cali.']",
julio-iglesias-arco-arena-1991-05-19,6/1/1991,artists,['JULIO IGLESIAS ARCO'],['JULIO IGLESIAS'],
julio-iglesias-arco-arena-1991-05-19,6/1/1991,location,"['Arena', 'Sacramento,', 'Cali.']","['ARCO Arena', 'Sacramento,', 'Cali.']",
whitney-houston-winnipeg-arena-None,6/1/1991,artists,['WHITNEY HOUSTON'],"['WHITNEY HOUSTON', 'AFTER 7']",
whitney-houston-winnipeg-arena-None,6/1/1991,location,"['Winnipeg Arena', 'AFTER? Winnipeg,', 'Manitoba Canadian)']","['Winnipeg Arena', 'Winnipeg,', 'Manitoba Canadian)']",
styx-sunrise-musical-theatre-1991-05-16,6/1/1991,gross_receipts_us,,140770,
styx-sunrise-musical-theatre-1991-05-16,6/1/1991,attendance,,6856,
