event_signature,issue_date,field,original_value,true_value,correction_reason
howard-jones-red-rocks-amphitheatre-1985-06-12,7/6/1985,promoter,"['Feyline Presents', 'RED7 Denver $13.75/$12.65 sellout']",['Feyline Presents'],
dan-fogelberg-cumberland-county-civic-center-1985-06-19,7/6/1985,ticket_prices,['13.50/912.50'],['13.50/12.50'],
ratt-great-plains-coliseum-1985-06-19,7/6/1985,artists,['RATT'],"['RATT', ""MAMA'S BOYS""]",
ratt-great-plains-coliseum-1985-06-19,7/6/1985,location,"['Great Plains Coliseum', ""MAMA'S BOYS Lawton, Okla.""]","['Great Plains Coliseum', 'Lawton, Okla.']",
ratt-bicentennial-center-1985-06-18,7/6/1985,artists,['RATT'],"['RATT', ""MAMA'S BOYS""]",
ratt-bicentennial-center-1985-06-18,7/6/1985,location,"['Bicentennial Center', ""MAMA'S BOYS Salina, Kan."", 'Presentations', 'â€”']","['Bicentennial Center', 'Salina, Kan.', 'Presentations', 'â€”']",
kenny-loggins-mesker-music-theater-1985-06-22,7/6/1985,artists,"['KENNY LOGGINS', 'MARK']","['KENNY LOGGINS', 'MARK McCOLLUM']",
kenny-loggins-mesker-music-theater-1985-06-22,7/6/1985,location,"['Mesker Music Theater', 'McCOLLUM Evansville, Ind.']","['Mesker Music Theater', 'Evansville, Ind.']",
ratt-memorial-hall-mama's-boys-1985-06-20,7/6/1985,artists,['RATT'],"['RATT', ""MAMA'S BOYS""]",
ratt-memorial-hall-mama's-boys-1985-06-20,7/6/1985,location,"['Memorial Hall', ""MAMA'S BOYS Joplin, Mo.""]","['Memorial Hall', 'Joplin, Mo.']",
ratt-memorial-hall-mama's-boys-1985-06-20,7/6/1985,ticket_prices,['l2sil'],['12/11'],
paco-de-lucia-sextet-warfield-theater-1985-06-18,7/6/1985,ticket_prices,['14.50/23.50'],['14.50/13.50'],
violent-femmes-rainbow-music-hall-1985-06-19,7/6/1985,ticket_prices,['19/39'],['19/9'],
stanley-clarke-the-moonshadow-1985-06-19,7/6/1985,attendance,338,838,
live-aid-jfk-stadium-philadelphia-factory-concerts-1985-07-13,7/27/1985,artists,['LIVE AID JFK'],['LIVE AID'],
live-aid-jfk-stadium-philadelphia-factory-concerts-1985-07-13,7/27/1985,artists,"['Stadium', 'Philadelphia', 'Factory Concerts']","['JFK Stadium', 'Philadelphia']",
live-aid-jfk-stadium-philadelphia-factory-concerts-1985-07-13,7/27/1985,promoter,['Bob Geldof/Bill Graham Presents/'],"['Bob Geldof/Bill Graham Presents/', 'Electric Factory Concerts']",
grateful-dead-merriweather-post-pavilion-1985-06-30,7/27/1985,ticket_prices,['l6/1l'],['16/11'],
robert-plant-reunion-arena-1985-06-24,7/27/1985,ticket_prices,[],['15'],
alabama-astrodome-houston-v-unlimited-1985-07-06,7/27/1985,ticket_prices,[],['7'],
"al-jarreau-blossom-music-festival-cuyahoga-falls,-None",7/27/1985,dates,['July'],['July 8'],
"al-jarreau-blossom-music-festival-cuyahoga-falls,-None",7/27/1985,gross_receipts_us,,164558,
"al-jarreau-blossom-music-festival-cuyahoga-falls,-None",7/27/1985,attendance,,13951,
"rick-springfield-lsu-assembly-center-""til-tuesday-1985-07-06",7/27/1985,artists,['RICK SPRINGFIELD LSU'],['RICK SPRINGFIELD'],
new-york-fresh-festival-mecca-arena-milwaukee-a-sellout-1985-06-26,7/27/1985,attendance,,8946,
rick-springfield-lsu-assembly-center-1985-07-06,7/27/1985,location,"['Assembly Center', '""TIL TUESDAY Baton Rouge, La.']","['LSU Assembly Center', 'Baton Rouge, La.']",
tom-petty-and-the-sun-dome-1985-07-12,7/27/1985,ticket_prices,[],['14'],
new-york-fresh-festival-mecca-arena-1985-06-26,7/27/1985,artists,['NEW YORK FRESH FESTIVAL MECCA'],['NEW YORK FRESH FESTIVAL'],
new-york-fresh-festival-mecca-arena-1985-06-26,7/27/1985,attendance,,8692,
new-york-fresh-festival-mecca-arena-1985-06-26,7/27/1985,ticket_prices,,['12/8.50'],
new-york-fresh-festival-mecca-arena-1985-06-26,7/27/1985,location,"['Arena', 'Milwaukee a sellout']","['MECCA Arena', 'Milwaukee']",
huey-lewis-and-the-news-meriweather-post-pavilion-1985-07-27,8/10/1985,promoter,[''],['Nederlander Organization'],
huey-lewis-and-the-news-cne-grandstand-1985-07-20,8/10/1985,location,"['Grandstand', 'Toronto']","['CNE Grandstand', 'Toronto']",
huey-lewis-and-the-news-cne-grandstand-1985-07-20,8/10/1985,artists,"['HUEY LEWIS & THE NEWS CNE', 'NEVILLE BROTHERS']","['HUEY LEWIS & THE NEWS', 'NEVILLE BROTHERS']",
bryan-adams-rushmore-plaza-civic-center-1985-07-21,8/10/1985,ticket_prices,['.0.'],['13.50'],
willie-nelson-the-spectrum-1985-07-25,8/10/1985,attendance,,8311,
new-edition-washington-None,8/10/1985,dates,['(0.C.)'],['July 19'],
new-edition-washington-None,8/10/1985,gross_receipts_us,,132000,
new-edition-washington-None,8/10/1985,attendance,,11000,
new-edition-washington-None,8/10/1985,location,"['Washington', 'Center']","['Washington (D.C.) Convention', 'Center']",
al-jarreau-meriweather-post-pavilion-1985-07-21,8/10/1985,ticket_prices,[],['14/9'],
eric-clapton-compton-terrace-1985-07-21,8/10/1985,gross_receipts_us,,88599,
eric-clapton-compton-terrace-1985-07-21,8/10/1985,attendance,,6573,
eric-clapton-compton-terrace-1985-07-21,8/10/1985,promoter,"['Prods.', '10,000']",['Evening Star Prods.'],
scorpions-compton-terrace-1985-09-02,9/21/1985,attendance,,35868,
grateful-dead-red-rocks-amphitheatre-None,9/21/1985,dates,['Sept. 5:7'],['Sept. 5-7'],
kenny-rogers-nassau-veterans-memorial-coliseum-1985-08-29,9/21/1985,attendance,,16826,
ac/dc-the-spectrum-philadelphia-1985-09-07,9/21/1985,ticket_prices,['13.50/511.50'],['13.50/11.50'],
"motley-crue-the-forum-inglewood,-1985-08-24",9/21/1985,ticket_prices,['15.50/513.50'],['15.50/13.50'],
willie-nelson-&-family-minnesota-state-fair-1985-08-22,9/21/1985,artists,"['WILLIE NELSON & FAMILY', 'WAYLON JENNINGS', 'COLTER']","['WILLIE NELSON & FAMILY', 'WAYLON JENNINGS', 'JESSI COLTER']",
willie-nelson-&-family-minnesota-state-fair-1985-08-22,9/21/1985,ticket_prices,['9/84.50'],['9/4.50'],
power-station-meadowlands-arena-1985-08-28,9/21/1985,ticket_prices,['15.50/813.50'],['15.50/13.50'],
reo-speedwagon-red-rocks-amphitheatre-1985-09-02,9/21/1985,ticket_prices,"['14,85/813.75']","['14,85/13.75']",
neil-young-minnesota-state-fair-1985-09-01,9/21/1985,ticket_prices,[],['14/8'],
sting-muni-opera-st.louis-1985-09-01,9/21/1985,ticket_prices,['16.50/14.50/30.50'],['16.50/14.50/10.50'],
tears-for-fears-red-rocks-amphitheatre-1985-09-08,9/21/1985,ticket_prices,['13.75/812.65'],['13.75/12.65'],
ratt-nashvine-municipal-auditorium-1985-08-22,9/21/1985,artists,"['RATT', 'BON JOV)']","['RATT', 'BON JOVI', 'Y & T']",
"statler-brothers,-indiana-state-faur-1985-08-25",9/21/1985,ticket_prices,[],['11/9'],
oak-ridge-boys-minnesota-state-fair-1985-08-25,9/21/1985,ticket_prices,['9/54.50'],['9/4.50'],
zztop-barton-cohseum-1986-01-31,2/15/1986,ticket_prices,[],['15'],
alabama-wheeling-(w.va.)-civic-center-1986-02-01,2/15/1986,ticket_prices,[],['17.50'],
loverboy-mid-south-coliseum-1986-01-28,2/15/1986,ticket_prices,['4'],['14'],
zztop-lake-charles-(la.)-civic-center-1986-01-30,2/15/1986,promoter,[''],['Beaver Prods'],
zztop-lake-charles-(la.)-civic-center-1986-01-30,2/15/1986,gross_receipts_us,,124635,
zztop-lake-charles-(la.)-civic-center-1986-01-30,2/15/1986,attendance,,8309,
alabama-saginaw-(mich.)-civic-center-1986-01-31,2/15/1986,gross_receipts_us,,117057,
alabama-saginaw-(mich.)-civic-center-1986-01-31,2/15/1986,attendance,,6689,
hank-williams-jr.-&-the-bama--sun-dome-univ.-of-south-fla.-1986-01-24,2/15/1986,gross_receipts_us,,95805,
hank-williams-jr.-&-the-bama--sun-dome-univ.-of-south-fla.-1986-01-24,2/15/1986,attendance,,6181,
loverboy-albany-(ga.}-civie-center-1986-02-02,2/15/1986,ticket_prices,['14.50/513.50'],['14.50/13.50'],
jerry-garcia-orpheum-theater-|_john-kahn-1986-02-01,2/15/1986,artists,['JERRY GARCIA'],"['JERRY GARCIA', 'JOHN KAHN']",
twisted-sister-met-center-1986-02-03,2/15/1986,ticket_prices,['4'],['14'],
kiss-mckale-center-univ.-of-1986-02-02,2/15/1986,ticket_prices,[],['12.50'],
jerry-garcia-the-ritz-new-york-city-1986-01-27,2/15/1986,ticket_prices,"['17.50/815,']",['17.50/15'],
"elton-john-the-spectrum-philadelphia,-pa,-None",9/27/1986,attendance,,34222,
dokken-irvine-meadows-amphitheater-1986-09-13,9/27/1986,ticket_prices,['17.50/816'],['17.50/16'],
manhattan-transfer-great-woods-center-1986-08-12,9/27/1986,ticket_prices,['17.50/815/12.50'],['17.50/15/12.50'],
anne-murray-riverbend-music-theater-1986-08-22,9/27/1986,ticket_prices,['16/59'],['16/9'],
george-thorogood-&-the-concord-pavilion-1986-09-12,9/27/1986,ticket_prices,['15.50/813.50'],['15.50/13.50'],
amy-grant-starwood-amphitheater-1986-08-29,9/27/1986,ticket_prices,['15.50/813'],['15.50/13'],
"genesis-the-forum-inglewood,-calif,-1986-10-13",11/1/1986,attendance,5739,85739,
"journey-the-spectrum-ti-philadelphia,-None",11/1/1986,artists,"['JOURNEY', 'GLASS']","['JOURNEY', 'GLASS TIGER']",
bob-seger-&-the-silver-hartford-civic-center-1986-10-19,11/1/1986,attendance,,25937,
bob-seger-&-the-silver-hartford-civic-center-1986-10-19,11/1/1986,ticket_prices,[],['16/14'],
uza-minnelli-front-row-theater-1986-10-07,11/1/1986,gross_receipts_us,2327,342327,
"neil-young-&-crazy-horse-rosemont-horizon-rosemont,-il-1986-10-18",11/1/1986,gross_receipts_us,24549,234549,
"neil-young-&-crazy-horse-rosemont-horizon-rosemont,-il-1986-10-18",11/1/1986,attendance,1349,13449,
stevie-wonder-maple-leaf-gardens-1986-10-10,11/1/1986,attendance,,12840,
"the-monkees-the-omni-atlanta,-gap-herman’s-hermits-1986-10-18",11/1/1986,artists,"['THE MONKEES', 'THE GRASS ROOTS', 'GARY PUCKETT & THE UNION']","['THE MONKEES', 'THE GRASS ROOTS', 'GARY PUCKETT & THE UNION', 'GAP', ""HERMAN'S HERMITS""]",
38-special-mid-south-coliseum-1986-10-18,11/1/1986,attendance,511,11511,
38-special-met-center-1986-10-12,11/1/1986,attendance,1849,11849,
james-taylor-pacific-amphitheatre-1986-10-07,11/1/1986,attendance,,11225,
"the-oak-ridge-boys-concerts-in-the-country,-lanierland-cumming,-1986-10-17",11/1/1986,ticket_prices,['3'],['13'],
bob-seger-&-the-silver-onondaga-county-war-memorial-1986-10-16,11/1/1986,attendance,,8331,
bob-seger-&-the-silver-onondaga-county-war-memorial-1986-10-16,11/1/1986,ticket_prices,[],['17'],
barbara-mandrell-niagara-falls-international-convention-center-1986-10-11,11/1/1986,ticket_prices,[],['17.50/15.50'],
the-monkees:-norfolk-scope-cultural-&-convention-center-1986-10-12,11/1/1986,ticket_prices,['20/18/16/16'],['20/18/16/14'],
"bob-seger-&-the-silver-the-forum-anglewood,-{__-None",1/24/1987,attendance,214,46214,
kenny-rogers-arco-arena-1987-01-04,1/24/1987,artists,"['KENNY ROGERS ARCO', 'EDDIE RABBITT', 'T. GRAHAM BROWN:']","['KENNY ROGERS', 'EDDIE RABBITT', 'T. GRAHAM BROWN']",
iron-maiden-civic-arena-1987-01-09,1/24/1987,ticket_prices,['1475'],['14.75'],
