entity_id,segment_id,year,quarter,metric_id,sub_metric_id,value,currency,org_currency,conversion_rate,decimal_conversion,scope,source_extracted_id,source_type,source_original_id,data_quality,source_uri,notes
spotify,total,2020,Q3,monthly_active_users,,320000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2020,Q4,monthly_active_users,,345000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2021,Q1,monthly_active_users,,356000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2021,Q2,monthly_active_users,,365000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2021,Q3,monthly_active_users,,381000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2021,Q4,monthly_active_users,,406000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2022,Q1,monthly_active_users,,422000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2022,Q2,monthly_active_users,,433000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2022,Q3,monthly_active_users,,456000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2022,Q4,monthly_active_users,,489000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2023,Q1,monthly_active_users,,515000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2023,Q2,monthly_active_users,,551000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2023,Q3,monthly_active_users,,574000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2023,Q4,monthly_active_users,,602000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2024,Q1,monthly_active_users,,615000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2024,Q2,monthly_active_users,,626000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2024,Q3,monthly_active_users,,640000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2024,Q4,monthly_active_users,,675000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2025,Q1,monthly_active_users,,678000000,,,,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2011,,num_employees,,311,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2013,,num_employees,,958,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2014,,num_employees,,1365,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2015,,num_employees,,1581,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2016,,num_employees,,2162,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2017,,num_employees,,2950,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2018,,num_employees,,3651,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2019,,num_employees,,4405,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2020,,num_employees,,5584,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2021,,num_employees,,6617,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2022,,num_employees,,8359,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2023,,num_employees,,9123,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2024,,num_employees,,7691,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2012,,cost_of_goods_sold,,449901460,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2013,,cost_of_goods_sold,,719376720,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2014,,cost_of_goods_sold,,1060440440,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2015,,cost_of_goods_sold,,1995164560,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2016,,cost_of_goods_sold,,2969466040,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2017,,cost_of_goods_sold,,3772653640,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2018,,cost_of_goods_sold,,4546740240,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2019,,cost_of_goods_sold,,5869089680,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2020,,cost_of_goods_sold,,6827094600,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2021,,cost_of_goods_sold,,8237911080,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2022,,cost_of_goods_sold,,10244716040,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2023,,cost_of_goods_sold,,11465794000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2024,,cost_of_goods_sold,,1.27E+10,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2009,,net_income,,-21808000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2010,,net_income,,-33060000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2011,,net_income,,-52644000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2012,,net_income,,-96976000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2013,,net_income,,-73080000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2014,,net_income,,-218080000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2015,,net_income,,-266800000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2016,,net_income,,-625240000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2017,,net_income,,-1432600000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2018,,net_income,,-90480000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2019,,net_income,,-215760000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2020,,net_income,,-673.96,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2021,,net_income,,-39440000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2022,,net_income,,-498800000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2023,,net_income,,-617120000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2024,,net_income,,1320080000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
