id,name,slug
422,Future Entertainment,future-entertainment,
423,Stone City Frank Erwin Center,stone-city-frank-erwin-center,
424,Brimstone,brimstone,
425,Makou! Prods.,makou-prods,
426,Cafferty's,cafferty-s,
427,Special Moments,special-moments,
428,Northeast Concerts,northeast-concerts,
429,Future Belkin Prods.,future-belkin-prods,
430,"Co,",co,
431,Varnell Enterprises,varnell-enterprises,
432,Avalon sellout,avalon-sellout,
433,Joseph Entertainment,joseph-entertainment,
434,Special Moments Jayson Promotions,special-moments-jayson-promotions,
435,Fey Concert,fey-concert,
436,Richard Misckell Prods.,richard-misckell-prods,
437,Richard Mischell Prods.,richard-mischell-prods,
438,Ordway Music Theatre,ordway-music-theatre,
439,Special Moments Promotions,special-moments-promotions,
440,Paciticoncerts,paciticoncerts,
441,Beaver,beaver,
442,Terry Garland,terry-garland,
443,Bill Silva,bill-silva,
444,Varnel,varnel,
445,Presents,presents,
446,Avaion,avaion,
447,Music Hall Prods.,music-hall-prods,
448,PACE Frank Erwin Center,pace-frank-erwin-center,
449,T White Rose Limited,t-white-rose-limited,
450,Radio City Music Hall Prods,radio-city-music-hall-prods,
451,Chicago Theater,chicago-theater,
452,Star Arena,star-arena,
453,Varnell Enterprises,varnell-enterprises,
454,Garland,garland,
455,Richard Mischell,richard-mischell,
456,Door Prods.,door-prods,
457,Guber-Gross,guber-gross,
458,"Stardate PACE Paso, Texas",stardate-pace-paso-texas,
459,AH.,ah,
460,Concert Internationa,concert-internationa,
461,Concert International,concert-international,
462,Barry Entertainment,barry-entertainment,
463,Bill Presents,bill-presents,
464,Nedertander,nedertander,
465,Entertainment,entertainment,
466,Ron Enterprises,ron-enterprises,
467,Concert International,concert-international,
468,Monarch,monarch,
469,C&C Entertainment,c-c-entertainment,
470,Entertainment,entertainment,
471,Rose Prods.,rose-prods,
472,Fey Concert,fey-concert,
473,Joseph,joseph,
474,The Concert,the-concert,
475,Monarch,monarch,
476,Double Promotions,double-promotions,
477,Stage Right Rose Prods.,stage-right-rose-prods,
478,Music Fair Prods.,music-fair-prods,
479,Avalon MCA Concerts,avalon-mca-concerts,
480,Avaion Attractions,avaion-attractions,
481,Donald K. Prods.,donald-k-prods,
482,Fox David Fey,fox-david-fey,
483,Donald K. Donald,donald-k-donald,
484,Monarch,monarch,
485,Bill Presents,bill-presents,
486,DiCesare-Engler,dicesare-engler,
487,Turning Prods.,turning-prods,
488,"Music Fair Prods,",music-fair-prods,
489,Rockville,rockville,
490,North Tours,north-tours,
491,Evening Prods.,evening-prods,
492,Genesis,genesis,
493,Publicom,publicom,
494,Fox Steve Litman,fox-steve-litman,
495,Music Fair,music-fair,
496,Music Prods.,music-prods,
497,Electric Concerts,electric-concerts,
498,Barnhill Arena,barnhill-arena,
499,Caesars Palace,caesars-palace,
500,Special Promotions,special-promotions,
501,Unlimited,unlimited,
502,Beaver,beaver,
503,PACE Concert,pace-concert,
504,Special Moments,special-moments,
505,Stardate PACE Concerts,stardate-pace-concerts,
506,Varnell Enterprises,varnell-enterprises,
507,Stardate,stardate,
508,Special Promotions:,special-promotions,
509,Presentations,presentations,
510,Universal Amphitheatre,universal-amphitheatre,
511,Stardate,stardate,
512,Northeast,northeast,
513,Special Moments,special-moments,
514,Starstruck,starstruck,
515,Keith Promotions,keith-promotions,
516,Star,star,
517,Special Promotions,special-promotions,
518,Unlimited,unlimited,
519,Music Fair Prods.,music-fair-prods,
520,~,,
521,Avaion Attractions,avaion-attractions,
522,Universal Amphitheatre,universal-amphitheatre,
523,G Street Express,g-street-express,
524,K. Donald,k-donald,
525,Univ. of IHinois-,univ-of-ihinois,
526,Pete Bennett,pete-bennett,
527,Electric Concerts,electric-concerts,
528,Entertainment,entertainment,
529,Al Enterprises,al-enterprises,
530,Avalon WEIR Amphitheatre,avalon-weir-amphitheatre,
531,"Pittsburgh, Pa. Attractions",pittsburgh-pa-attractions,
532,Organization,organization,
533,Donald K. Donald,donald-k-donald,
534,Jayson,jayson,
535,Radio City Music,radio-city-music,
536,Fox Steve Litman,fox-steve-litman,
537,K. Prods.,k-prods,
538,G Street Express,g-street-express,
539,G Street PACE Concerts,g-street-pace-concerts,
540,MCA PACE Concerts,mca-pace-concerts,
541,Entertainment,entertainment,
542,Evening Prods.,evening-prods,
