event_id,ticket_price
25099,19.00
25068,14.00
25088,13.00
25040,16.00
25078,16.00
23928,17.00
23938,20.00
23902,17.00
23913,17.00
23920,14.00
23912,15.00
23915,17.00
23954,12.00
23916,15.00
23951,17.00
23957,13.00
23971,16.00
24516,25.00
24555,14.00
24571,17.00
24582,14.00
24518,21.00
24128,17.00
24080,25.00
24157,19.00
24120,23.00
24144,24.00
24153,16.00
24071,20.00
24076,18.00
24073,18.00
24143,19.00
24337,17.00
24299,13.00
24294,20.00
24281,14.00
24309,12.00
24342,29.00
24279,13.00
24304,18.00
24267,13.00
24319,13.00
24339,11.00
24328,19.00
24377,25.00
24365,13.00
24409,14.00
24396,16.00
24422,17.00
24382,17.00
24401,175.00
24398,21.00
24414,18.00
24431,18.00
24050,25.00
23994,16.00
24059,20.00
23986,18.00
24049,17.00
24053,23.00
24060,15.00
23987,14.00
23781,16.00
23737,12.00
23776,15.00
23753,15.00
23782,14.00
23790,15.00
23746,17.00
23746,14.00
23801,13.00
23728,23.00
24660,20.00
24629,18.00
24661,18.00
24640,23.00
24673,19.00
23819,14.00
23850,17.00
23815,8.00
23830,15.00
23834,29.00
23892,17.00
23825,22.00
23831,19.00
23820,19.00
23849,18.00
23855,24.00
23837,15.00
23884,28.00
24485,20.00
24459,27.00
24438,29.00
24463,17.00
24989,17.00
24967,15.00
25004,13.00
24962,33.00
24957,17.00
24929,12.00
24943,23.00
24941,19.00
24891,16.00
24914,26.00
24910,19.00
24949,19.00
24881,14.00
24867,85.00
24704,15.00
24718,18.00
24709,20.00
24722,17.00
24731,23.00
24740,14.00
24686,14.00
24765,15.00
24791,17.00
24834,14.00
24780,18.00
24819,18.00
24840,13.00
24851,33.00
24849,25.00
24194,18.00
24237,15.00
24258,35.00
24173,14.00
24192,16.00
25045,25.00
25044,25.00
25072,9.00
25083,12.00
25046,13.00
25082,20.00
25056,16.00
23974,14.00
23975,14.00
23961,19.00
23895,15.00
23939,16.00
23952,16.00
23918,17.00
24532,16.00
24546,17.00
24563,16.00
24586,23.00
24597,25.00
24550,15.00
24587,15.00
24522,18.00
24604,9.00
24604,5.00
24109,15.00
24117,15.00
24129,28.00
24147,20.00
24100,5.00
24142,15.00
24088,18.00
24139,7.00
24163,19.00
24131,15.00
24305,19.00
24291,24.00
24320,17.00
24394,15.00
24395,20.00
24415,15.00
24400,14.00
24354,15.00
24424,17.00
24406,15.00
24411,18.00
24373,18.00
24435,14.00
24379,26.00
24392,15.00
24020,15.00
23980,17.00
24067,22.00
24057,21.00
23999,18.00
24054,20.00
23977,25.00
24002,13.00
24018,19.00
24038,15.00
24021,13.00
24062,18.00
23794,19.00
23773,15.00
23752,13.00
24609,17.00
24609,14.00
24681,19.00
24646,25.00
24648,17.00
24605,23.00
24622,16.00
24675,14.00
24612,18.00
24613,15.00
24628,20.00
24643,16.00
24655,18.00
24638,13.00
24608,23.00
23841,12.00
23867,14.00
23835,18.00
23813,20.00
23868,25.00
23829,15.00
23816,50.00
23891,33.00
23840,20.00
23884,20.00
24488,18.00
24500,33.00
24441,16.00
24453,20.00
24456,17.00
24959,20.00
25016,14.00
24993,25.00
24954,18.00
24974,14.00
25009,26.00
25003,14.00
24887,16.00
24916,18.00
24939,14.00
24876,23.00
24897,22.00
24906,16.00
24868,15.00
24915,23.00
24912,23.00
24885,12.00
24728,16.00
24742,17.00
24727,16.00
24803,18.00
24834,13.00
24798,20.00
24852,15.00
24795,15.00
24804,10.00
24818,20.00
24861,20.00
24806,21.00
24216,30.00
24172,17.00
24234,15.00
24185,18.00
24206,16.00
24217,17.00
24200,18.00
24210,20.00
24251,33.00
24173,13.00
24227,12.00
24211,18.00
25076,16.00
25051,30.00
25039,24.00
25093,15.00
25070,18.00
25081,25.00
25053,20.00
25057,12.00
25061,19.00
25096,13.00
23975,13.00
23903,12.00
23919,22.00
23919,15.00
23976,16.00
23922,18.00
23920,16.00
23936,13.00
23917,13.00
24524,13.00
24603,18.00
24540,19.00
24568,10.00
24519,15.00
24522,23.00
24531,30.00
24531,14.00
24153,14.00
24116,17.00
24101,18.00
24123,7.00
24115,15.00
24164,18.00
24078,35.00
24124,16.00
24156,14.00
24098,325.00
24099,18.00
24145,17.00
24345,20.00
24321,20.00
24338,15.00
24394,25.00
24402,18.00
24353,16.00
24384,10.00
24390,19.00
24408,18.00
24380,16.00
24381,16.00
24381,11.00
24017,15.00
24016,14.00
24057,22.00
24055,23.00
23977,22.00
24002,14.00
24018,30.00
24043,16.00
24005,18.00
24033,17.00
24033,14.00
23770,17.00
23736,15.00
23777,17.00
23727,20.00
23775,16.00
23758,13.00
23767,20.00
23764,16.00
24609,19.00
24658,33.00
24644,20.00
24675,13.00
24677,29.00
23859,20.00
23819,16.00
23836,18.00
23847,15.00
23870,17.00
23856,30.00
23860,13.00
23881,17.00
23828,18.00
23889,30.00
24481,20.00
24492,21.00
24451,20.00
24452,18.00
24436,19.00
24505,12.00
24486,23.00
24996,815.00
24981,14.00
25029,19.00
24964,15.00
24971,15.00
25021,13.00
24968,20.00
24994,23.00
24958,15.00
24944,19.00
24863,13.00
24923,18.00
24936,15.00
24864,23.00
24925,24.00
24896,20.00
24942,19.00
24920,14.00
24899,22.00
24945,17.00
24951,17.00
24750,13.00
24704,9.00
24696,25.00
24700,18.00
24738,13.00
