event_id,artist_id
24560,38
24580,723
24518,312
24573,246
24531,863
24137,716
24138,825
24101,541
24141,580
24149,2
24158,823
24085,726
24165,41
24143,865
24268,453
24287,338
24305,25
24261,283
24308,883
24292,60
24292,365
24346,190
24394,784
24404,199
24363,321
24406,332
24351,14
24361,191
24416,680
24416,670
24364,3
24413,825
23990,477
23990,436
23998,191
24046,61
23999,50
24001,3
24008,70
24040,145
24040,514
24054,24
24066,1043
24028,312
24021,99
23765,36
23794,778
23724,14
23733,620
23718,354
23725,431
23746,7
23728,704
24637,23
24670,31
24616,706
24646,1008
24682,18
24633,36
24620,753
24653,179
24617,3
24672,243
23833,416
23836,793
23894,124
23811,317
23882,201
23882,178
23825,948
23831,557
23826,759
23871,73
23817,21
23810,776
23845,383
23860,275
23889,896
24449,261
24452,739
24473,624
24466,97
24436,617
24482,942
24505,47
24439,14
24457,789
24445,143
25018,180
25001,117
25020,164
24993,1008
24984,82
24984,58
25021,31
24972,735
25012,495
25010,720
24988,121
25005,26
25009,970
24965,337
24939,204
24872,525
24924,117
24868,14
24874,71
24877,289
24919,210
24907,373
24879,289
24764,111
24721,158
24712,356
24759,627
24765,185
24758,284
24741,968
24741,985
24823,347
24829,423
24858,577
24859,598
24812,99
24789,337
24813,193
24814,266
24816,10
24182,726
24209,184
24212,99
24248,84
24235,423
24175,14
24203,36
24231,102
24193,213
24210,121
24179,638
24211,587
24245,336
25084,26
25054,1133
25073,690
25083,155
25099,484
25035,14
25056,262
25081,210
25057,260
25060,36
25040,303
23935,37
23956,17
23969,201
23969,178
23929,121
23962,56
23973,492
23936,126
23936,138
23907,729
23909,46
23918,794
23927,813
23927,944
23921,136
23953,225
23971,368
24555,74
24562,210
24578,423
24569,933
24569,939
24534,253
24563,708
24567,785
24582,429
24539,91
24565,942
24594,871
24515,14
24083,326
24123,232
24125,539
24169,821
24115,597
24081,252
24086,337
24110,737
24134,275
24148,89
24148,94
24072,14
24263,105
24265,431
24277,621
24289,262
24395,55
24424,616
24433,837
24382,583
24350,14
24362,19
24432,694
24352,127
24379,36
24412,161
24412,151
23993,741
23993,726
24031,10
23980,659
23994,489
24010,588
23978,322
24051,89
24051,94
23989,226
24015,423
23999,57
23785,522
23736,42
23734,42
24641,653
24636,121
24646,989
24676,762
24651,37
24684,316
24612,380
24678,579
24623,7
24606,265
24630,23
24639,672
24652,38
23841,67
23867,197
23836,760
23864,342
23886,872
23854,38
23816,917
23812,705
23879,44
23853,37
24481,942
24485,959
24474,208
24499,24
24506,166
24504,44
24981,279
25033,294
24993,989
24964,289
24980,60
24971,195
24978,76
25004,359
24975,324
24953,105
24988,441
24955,14
24956,494
24958,388
25028,761
24944,886
24863,654
24916,386
24929,102
24934,457
24882,261
24874,87
24915,37
24920,228
24922,443
24869,14
24927,887
24932,89
24932,94
24938,487
24716,60
24688,287
24688,1004
24690,14
24750,864
24698,412
24701,289
24745,544
24757,31
24694,32
24696,676
24715,136
24766,18
24740,222
24738,134
24717,898
24788,878
24854,119
24792,3
24830,640
24775,818
24804,28
24777,14
24836,237
24793,3
24201,271
24216,37
24249,181
24249,137
24253,13
24228,26
24241,24
24258,584
24200,60
24208,552
24189,712
25089,423
25089,854
25041,337
25039,606
25034,283
25044,155
25042,337
25080,40
25053,913
25040,326
25078,37
23974,112
23897,257
23914,416
23942,117
23944,800
23918,801
24537,135
24600,340
24590,217
24540,7
24567,790
24602,124
24538,560
24550,121
24510,105
24601,340
24529,337
24542,586
24128,183
24122,135
24171,242
24094,416
24105,448
24140,359
24073,1007
24074,376
24145,728
24168,653
24303,377
24297,184
24312,839
24273,833
24323,430
24313,115
24302,38
24339,224
24397,110
24402,228
24353,351
24396,37
24420,429
24348,644
24408,145
24035,98
24061,891
24063,873
23999,53
24005,735
24033,37
24024,809
24070,584
23724,431
23799,725
23777,806
23729,453
23732,412
23795,30
23744,557
23758,48
23754,338
23743,984
23791,2
23725,14
23782,275
23797,201
23797,178
23756,945
23742,382
23778,448
24656,582
24659,215
24632,301
24657,26
24624,416
24662,681
24635,855
24671,214
23863,955
23819,364
23874,723
23876,927
23876,922
23846,343
23846,330
23886,873
23873,4
23887,856
23862,117
23856,37
23842,60
23842,365
23845,121
24509,766
24508,4
24497,180
24507,609
24494,89
24494,94
24501,24
24502,413
24479,661
24486,456
25019,45
25029,551
24968,642
24985,558
24944,84
24923,117
24933,89
24933,94
24902,158
24891,323
24893,760
24937,153
24925,955
24896,954
24949,269
24945,255
