,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
56,58,21.1,The Smashing Pumpkin,79.41,"7,377","265,584","585,801",36/38,Artist Group International
57,59,21.0,Jeff Dunha,49.58,"6,403","422,614","317,503",66/68,United Talent Agency
58,60,20.9,Post Malon,59.99,"12,423","347,851","745,280",28/30,United Talent Agency
59,61,20.5,Bad Bunn,69.70,"7,529","293,623","524,783",39/43,Cardenas Marketing Network
60,62,19.9,Thomas Rhet,66.11,"9,704","300,839","641,574",31/32,WME
61,63,19.8,Jerry Seinfel,100.61,"3,576","196,706","359,829",55/73,ICM Partners
62,64,19.4,“Vans Warped Tour,35.77,"14,287","542,908","511,062",38/38,Creative Artists Agency
63,65,19.0,The Killer,57.53,"13,227","330,675","760,923",25/27,WME
64,66,18.9,“The Illusionists,59.80,"4,216","316,209","252,121",75/189,WME
65,67,18.8,Steely Dan / Doobie Brother,61.90,"8,004","304,170","495,473",38/38,Creative Artists Agency
66,68,18.6,Depeche Mod,76.71,"24,257","242,565","1,860,796",10/11,WME
67,69,18.2,Lady Gag,118.29,"14,012","154,134","1,657,461",11/11,Creative Artists Agency
68,70,18.0,David Byrn,73.07,"3,371","246,055","246,288",73/,81 WME
69,71,17.8,Demi Lovat,75.13,"11,863","237,269","891,244",20/20,Creative Artists Agency
70,72,17.3,Jimmy Buffet,97.10,"13,714","178,283","1,331,633",13/13,The Howard Rose Agency
71,73,17.0,George Strai,141.45,"30,129","120,516","4,261,825",4/7,The Erv Woolsey Agency
72,74,16.8,Pentatoni,39.48,"8,970","403,828","354,153",46/54,Creative Artists Agency
73,75,16.6,Malum,85.17,"9,264","194,552","789,080",21/22,Creative Artists Agency
74,76,16.6,Jeff Lynne’s EL,115.57,"15,928","143,348","1,840,710",9/11,Creative Artists Agency
75,77,16.3,Jim Gaffiga,55.52,"5,335","293,443","296,236",55/71,United Talent Agency
76,78,16.2,Ozzy Osbourn,61.33,"15,494","263,398","950,324",17/17,Creative Artists Agency
